iter	Passed	Remaining
718	9856	3852
719	9870	3838
720	9884	3824
721	9898	3811
722	9911	3797
723	9925	3783
724	9938	3769
725	9952	3756
726	9966	3742
727	9980	3728
728	9993	3714
729	10006	3701
730	10020	3687
731	10033	3673
732	10047	3659
733	10060	3646
734	10073	3632
735	10087	3618
736	10101	3604
737	10115	3591
738	10128	3577
739	10141	3563
740	10156	3549
741	10170	3536
742	10183	3522
743	10197	3508
744	10213	3495
745	10226	3482
746	10240	3468
747	10253	3454
748	10266	3440
749	10280	3426
750	10294	3413
751	10307	3399
752	10321	3385
753	10334	3371
754	10348	3358
755	10362	3344
756	10375	3330
757	10389	3316
758	10403	3303
759	10416	3289
760	10430	3275
761	10442	3261
762	10454	3247
763	10466	3233
764	10479	3219
765	10491	3204
766	10503	3190
767	10516	3176
768	10528	3162
769	10541	3148
770	10554	3134
771	10566	3120
772	10578	3106
773	10590	3092
774	10602	3078
775	10614	3064
776	10627	3050
777	10639	3035
778	10651	3021
779	10663	3007
780	10676	2993
781	10688	2979
782	10700	2965
783	10713	2951
784	10726	2937
785	10738	2923
786	10750	2909
787	10763	2895
788	10775	2881
789	10787	2867
790	10800	2853
791	10812	2839
792	10824	2825
793	10836	2811
794	10848	2797
795	10861	2783
796	10872	2769
797	10884	2755
798	10897	2741
799	10910	2727
800	10922	2713
801	10934	2699
802	10948	2685
803	10962	2672
804	10975	2658
805	10989	2645
806	11002	2631
807	11015	2617
808	11030	2604
809	11044	2590
810	11057	2577
811	11071	2563
812	11085	2549
813	11099	2536
814	11112	2522
815	11124	2508
816	11136	2494
817	11148	2480
818	11161	2466
819	11175	2453
820	11187	2439
821	11200	2425
822	11213	2411
823	11225	2397
824	11237	2383
825	11249	2369
826	11261	2355
827	11273	2341
828	11285	2327
829	11298	2314
830	11311	2300
831	11323	2286
832	11336	2272
833	11349	2258
834	11361	2245
835	11373	2231
836	11386	2217
837	11398	2203
838	11411	2189
839	11424	2176
840	11436	2162
841	11448	2148
842	11461	2134
843	11474	2120
844	11486	2107
845	11499	2093
846	11511	2079
847	11523	2065
848	11536	2051
849	11549	2038
850	11562	2024
851	11574	2010
852	11586	1996
853	11598	1982
854	11611	1969
855	11623	1955
856	11636	1941
857	11649	1927
858	11662	1914
859	11674	1900
860	11687	1886
861	11700	1873
862	11714	1859
863	11727	1846
864	11740	1832
865	11754	1818
866	11767	1805
867	11780	1791
868	11795	1778
869	11808	1764
870	11820	1750
871	11833	1737
872	11847	1723
873	11861	1710
874	11874	1696
875	11888	1682
876	11902	1669
877	11915	1655
878	11927	1641
879	11939	1628
880	11952	1614
881	11965	1600
882	11978	1587
883	11990	1573
884	12003	1559
885	12014	1545
886	12027	1532
887	12039	1518
888	12051	1504
889	12063	1491
890	12076	1477
891	12088	1463
892	12099	1449
893	12111	1436
894	12123	1422
895	12135	1408
896	12148	1395
897	12162	1381
898	12175	1367
899	12187	1354
900	12198	1340
901	12210	1326
902	12223	1313
903	12235	1299
904	12248	1285
905	12260	1272
906	12273	1258
907	12286	1244
908	12299	1231
909	12311	1217
910	12324	1204
911	12336	1190
912	12348	1176
913	12361	1163
914	12374	1149
915	12387	1135
916	12399	1122
917	12411	1108
918	12424	1095
919	12437	1081
920	12449	1067
921	12463	1054
922	12476	1040
923	12487	1027
924	12500	1013
925	12513	999
926	12526	986
927	12538	972
928	12552	959
929	12564	945
930	12576	932
931	12589	918
932	12601	904
933	12614	891
934	12626	877
935	12638	864
936	12652	850
937	12665	837
938	12679	823
939	12693	810
940	12707	796
941	12720	783
942	12734	769
943	12747	756
944	12760	742
945	12773	729
946	12785	715
947	12798	702
948	12811	688
949	12823	674
950	12835	661
951	12848	647
952	12861	634
953	12873	620
954	12886	607
955	12898	593
956	12911	580
957	12925	566
958	12936	553
959	12949	539
960	12962	526
961	12975	512
962	12987	499
963	13000	485
964	13012	471
965	13025	458
966	13037	444
967	13049	431
968	13062	417
969	13074	404
970	13086	390
971	13098	377
972	13110	363
973	13123	350
974	13136	336
975	13148	323
976	13162	309
977	13175	296
978	13189	282
979	13202	269
980	13215	255
981	13228	242
982	13241	229
983	13254	215
984	13266	202
985	13279	188
986	13291	175
987	13304	161
988	13316	148
989	13329	134
990	13342	121
991	13355	107
992	13368	94
993	13381	80
994	13394	67
995	13408	53
996	13422	40
997	13434	26
998	13448	13
999	13462	0
