iter	Logloss
0	0.6544851225
1	0.6206084084
2	0.5904333598
3	0.5658907966
4	0.5430903399
5	0.5229754177
6	0.5051563652
7	0.4896069899
8	0.4762116592
9	0.4640033946
10	0.452542053
11	0.4432243056
12	0.4346426699
13	0.4272923571
14	0.4198540781
15	0.4129601513
16	0.4071441944
17	0.4024349788
18	0.3972292323
19	0.3927661683
20	0.3876345084
21	0.3835887099
22	0.3797033402
23	0.3754772893
24	0.3720532622
25	0.3688239368
26	0.365152688
27	0.3623797056
28	0.3597335458
29	0.3566565241
30	0.3542972772
31	0.3520165958
32	0.3495316342
33	0.347401968
34	0.3452639899
35	0.3431066995
36	0.3412288658
37	0.3391931979
38	0.3373255533
39	0.3356725279
40	0.3340680283
41	0.3325295008
42	0.3309148241
43	0.3292450921
44	0.327594812
45	0.3264514821
46	0.3250946738
47	0.3234860638
48	0.3220219649
49	0.3208459177
50	0.3194714561
51	0.3179865126
52	0.316760975
53	0.3156273415
54	0.3143404889
55	0.313426976
56	0.3122123912
57	0.3110840701
58	0.3098433705
59	0.3086792614
60	0.3075700156
61	0.3066015615
62	0.3056970832
63	0.3046391849
64	0.3035888807
65	0.3026459096
66	0.3018688236
67	0.3010262746
68	0.3002232761
69	0.2993545334
70	0.2985812416
71	0.2978432093
72	0.2971793687
73	0.2965647499
74	0.2957084556
75	0.2949101413
76	0.2942899445
77	0.2936127185
78	0.2929482434
79	0.2922743268
80	0.291591899
81	0.2907787411
82	0.2901252202
83	0.2895029002
84	0.2889249886
85	0.2881987205
86	0.2876056217
87	0.2870044326
88	0.2864714539
89	0.2859426472
90	0.2852706831
91	0.2847459675
92	0.2840658849
93	0.2833916738
94	0.2828783196
95	0.2821541804
96	0.2816564758
97	0.2811574886
98	0.2805449525
99	0.2800760972
100	0.2795876282
101	0.2790558141
102	0.2785638907
103	0.2777846123
104	0.2773845913
105	0.2769793205
106	0.2765213672
107	0.2760664073
108	0.2756106267
109	0.2750634368
110	0.2746145694
111	0.2741466209
112	0.2735078406
113	0.2730156245
114	0.2727106447
115	0.2722021069
116	0.2717664651
117	0.2712836701
118	0.2707939671
119	0.2704054411
120	0.2700748513
121	0.269672652
122	0.2693248427
123	0.2689446498
124	0.2685954318
125	0.2680609209
126	0.2677174502
127	0.2673814158
128	0.2670620909
129	0.26675849
130	0.2663498699
131	0.2659404702
132	0.2656986072
133	0.2652617726
134	0.2648434896
135	0.2644915971
136	0.2641501909
137	0.2637326021
138	0.2634201226
139	0.2629970023
140	0.2626481739
141	0.2623801035
142	0.2620638534
143	0.2618004374
144	0.2614411639
145	0.2611098665
146	0.2607318917
147	0.2604416917
148	0.260115563
149	0.2596518519
150	0.2593295828
151	0.2590050531
152	0.2586873399
153	0.2583512656
154	0.2580957586
155	0.2577825967
156	0.2575472648
157	0.2573005911
158	0.2569949536
159	0.2567983589
160	0.2565458472
161	0.2563039667
162	0.2560590951
163	0.2557493768
164	0.2554984656
165	0.2551848168
166	0.2549435004
167	0.2546541304
168	0.2543030921
169	0.2540560623
170	0.2537189741
171	0.2534335455
172	0.2530994118
173	0.2528453462
174	0.2525500566
175	0.2522555144
176	0.2519774534
177	0.2516975787
178	0.2514733207
179	0.2512212058
180	0.2509489471
181	0.250680425
182	0.2504397198
183	0.2502215899
184	0.2500368899
185	0.2497956902
186	0.2495957334
187	0.2493176676
188	0.2491028481
189	0.2487906211
190	0.2485183933
191	0.248314233
192	0.2479463741
193	0.2476057127
194	0.2474117197
195	0.2470919189
196	0.2468759724
197	0.2466228281
198	0.2464221429
199	0.246228179
200	0.2460404924
201	0.245798837
202	0.2455229414
203	0.2452607314
204	0.245014707
205	0.2447887165
206	0.2445264747
207	0.2443022202
208	0.2440948792
209	0.2438680482
210	0.2436319183
211	0.243415975
212	0.2430974092
213	0.2428996236
214	0.242663856
215	0.2424871251
216	0.2423025447
217	0.2420247536
218	0.2417849677
219	0.2416429317
220	0.2413808187
221	0.2411381226
222	0.2409564293
223	0.240630257
224	0.2404254998
225	0.2402300622
226	0.2400740747
227	0.2398328375
228	0.239534219
229	0.2393153529
230	0.2390607063
231	0.2388165923
232	0.2386286737
233	0.2383895982
234	0.238104589
235	0.2379096726
236	0.2377110828
237	0.2374720147
238	0.2373053111
239	0.2371030976
240	0.2368826714
241	0.2366682365
242	0.2364457221
243	0.2362849619
244	0.2360271879
245	0.2358085646
246	0.2356944083
247	0.2355922107
248	0.2354118217
249	0.2351767831
250	0.2350103398
251	0.2347845806
252	0.2345536505
253	0.2343332309
254	0.2340171849
255	0.2338103981
256	0.2336342941
257	0.2333908592
258	0.2332053515
259	0.2329683199
260	0.2327588732
261	0.2325281572
262	0.2322678113
263	0.2320539243
264	0.2318248786
265	0.2316114941
266	0.2313425162
267	0.2311382039
268	0.2309193628
269	0.2307069706
270	0.2304898591
271	0.2303620873
272	0.2302768338
273	0.2300109829
274	0.2297761706
275	0.22957069
276	0.2293106492
277	0.2291312085
278	0.2289046521
279	0.2287209919
280	0.2285386698
281	0.2283353711
282	0.2281783018
283	0.2279933721
284	0.2277928186
285	0.2275554941
286	0.2273511505
287	0.2271260483
288	0.2269715667
289	0.2267833784
290	0.2266123739
291	0.2263858251
292	0.2261929153
293	0.2260159256
294	0.2259328638
295	0.2258468789
296	0.2256039631
297	0.2255094612
298	0.2253929299
299	0.2252085613
300	0.2250340706
301	0.2248397071
302	0.224652638
303	0.2244637855
304	0.2242666641
305	0.2240231808
306	0.223821364
307	0.2237392045
308	0.2235634691
309	0.2234646937
310	0.223295754
311	0.2231349458
312	0.2230199476
313	0.2228202078
314	0.2226441053
315	0.22243308
316	0.2223381746
317	0.2222862396
318	0.2221995909
319	0.2221245159
320	0.2219281084
321	0.2218036932
322	0.2216241028
323	0.2213281526
324	0.2211511965
325	0.2210726427
326	0.2208782401
327	0.2206889769
328	0.2205213451
329	0.220395397
330	0.2202320836
331	0.2200948701
332	0.2198759727
333	0.2197237117
334	0.2196057221
335	0.2195297969
336	0.2193281963
337	0.2191226944
338	0.2190358652
339	0.2189400246
340	0.2187413511
341	0.2185556256
342	0.2184534113
343	0.2183164545
344	0.2181093135
345	0.2179184206
346	0.2177906081
347	0.2176237468
348	0.2174873745
349	0.2173630354
350	0.2172221253
351	0.2170442532
352	0.2168686176
353	0.2168025082
354	0.2166283834
355	0.2165248231
356	0.2163139339
357	0.2162250498
358	0.2160854224
359	0.2158951261
360	0.2157184531
361	0.2155298712
362	0.2153274546
363	0.2151442074
364	0.2149729175
365	0.214785532
366	0.2146665949
367	0.214512544
368	0.2143620277
369	0.2142109027
370	0.214016034
371	0.2138572429
372	0.2136923457
373	0.213496121
374	0.213303881
375	0.2131046892
376	0.213022992
377	0.2128758484
378	0.2126708172
379	0.2125165654
380	0.2123575557
381	0.2122234337
382	0.2121086958
383	0.2119501831
384	0.2117790766
385	0.2116364235
386	0.2114805445
387	0.2113224554
388	0.2111683152
389	0.2109826891
390	0.2108399227
391	0.2106910279
392	0.2105320877
393	0.2104725422
394	0.2103351103
395	0.2101744547
396	0.210006505
397	0.2098376527
398	0.2096763766
399	0.209560674
400	0.209377249
401	0.2092332984
402	0.2091022444
403	0.20900315
404	0.2088650129
405	0.2087314364
406	0.2086083056
407	0.2084341602
408	0.2083212946
409	0.2081887178
410	0.2079996214
411	0.2078397075
412	0.2077061674
413	0.2075057645
414	0.2073958918
415	0.2072336808
416	0.2071469553
417	0.2069955071
418	0.2068831675
419	0.2067247737
420	0.2066260272
421	0.2065397314
422	0.2063631201
423	0.2062273203
424	0.2061401711
425	0.2059981612
426	0.2058798465
427	0.2057745096
428	0.2056435092
429	0.2055013563
430	0.2053364112
431	0.2052099972
432	0.2051430376
433	0.2050266267
434	0.2048639183
435	0.2047243294
436	0.2045805497
437	0.2043977065
438	0.2042782068
439	0.2041770206
440	0.2040058496
441	0.2039423906
442	0.2038071728
443	0.2037109101
444	0.2035324901
445	0.2034335495
446	0.2033109931
447	0.2031602782
448	0.203046261
449	0.2029026725
450	0.2027689837
451	0.2026050354
452	0.2024724796
453	0.2023526569
454	0.2022521802
455	0.2021307134
456	0.2019614604
457	0.2017676732
458	0.2016431555
459	0.20146572
460	0.2013469065
461	0.2011937743
462	0.2010793429
463	0.2009425481
464	0.2008569235
465	0.2007507142
466	0.2006073635
467	0.2004793803
468	0.2003571279
